,Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,Lp,Lr,plastic,fcompact,wcompact
216,W,W12X87,W12X87,F,87.0,25.6,12.5,12  1/2 ,12.1,12  1/8 ,0.515,  1/2 ,  1/4 ,0.810, 13/16,1.41,1 11/16,1  1/16,7.48,18.9,740.0,132.0,118.0,5.38,241.0,60.4,39.7,3.07,5.10,8270,35.4,86.6,27.4,64.9,3.46,11.7,59.2,71.3,10.843857304688422,43.019783280059706,550.0,1,1
217,W,W12X79,W12X79,F,79.0,23.2,12.4,12  3/8 ,12.1,12  1/8 ,0.470,  1/2 ,  1/4 ,0.735,  3/4 ,1.33,1  5/8 ,1  1/16,8.22,20.7,662.0,119.0,107.0,5.34,216.0,54.3,35.8,3.05,3.84,7330,35.3,78.5,24.9,58.9,3.43,11.7,59.1,71.2,10.773213283159507,39.83611029660059,495.8333333333333,1,1
218,W,W12X72,W12X72,F,72.0,21.1,12.3,12  1/4 ,12.0,12      ,0.430,  7/16,  1/4 ,0.670, 11/16,1.27,1  9/16,1  1/16,8.99,22.6,597.0,108.0,97.4,5.31,195.0,49.2,32.4,3.04,2.93,6540,34.9,70.1,22.5,53.2,3.41,11.6,58.7,70.7,10.737891272395052,37.43545017277662,450.0,1,1
220,W,W12X58,W12X58,F,58.0,17.0,12.2,12  1/4 ,10.0,10      ,0.360,  3/8 ,  3/16,0.640,  5/8 ,1.24,1  1/2 , 15/16,7.82,27.0,475.0,86.4,78.0,5.28,107.0,32.5,21.4,2.51,2.10,3570,28.9,46.2,17.8,42.4,2.81,11.6,52.6,62.6,8.865824701878806,29.808150045869414,360.0,1,1
221,W,W12X53,W12X53,F,53.0,15.6,12.1,12      ,10.0,10      ,0.345,  3/8 ,  3/16,0.575,  9/16,1.18,1  3/8 , 15/16,8.69,28.1,425.0,77.9,70.6,5.23,95.8,29.1,19.2,2.48,1.58,3160,28.8,41.4,16.0,38.3,2.79,11.5,52.5,62.5,8.759858669585435,28.163111721156103,324.58333333333337,1,1
222,W,W12X50,W12X50,F,50.0,14.6,12.2,12  1/4 ,8.08,8  1/8 ,0.370,  3/8 ,  3/16,0.640,  5/8 ,1.14,1  1/2 , 15/16,6.31,26.8,391.0,71.9,64.2,5.18,56.3,21.3,13.9,1.96,1.71,1880,23.4,30.2,14.3,35.4,2.25,11.6,47.0,55.1,6.923114109833651,23.79158634518063,299.58333333333337,1,1
223,W,W12X45,W12X45,F,45.0,13.1,12.1,12      ,8.05,8      ,0.335,  5/16,  3/16,0.575,  9/16,1.08,1  3/8 , 15/16,7.00,29.6,348.0,64.2,57.7,5.15,50.0,19.0,12.4,1.95,1.26,1650,23.2,26.8,12.8,31.7,2.23,11.5,46.8,54.9,6.887792099069194,22.36578009904001,267.5,1,1
224,W,W12X40,W12X40,F,40.0,11.7,11.9,12      ,8.01,8      ,0.295,  5/16,  3/16,0.515,  1/2 ,1.02,1  3/8 ,  7/8 ,7.77,33.6,307.0,57.0,51.5,5.13,44.1,16.8,11.0,1.94,0.906,1440,22.8,23.5,11.3,27.8,2.21,11.4,46.4,54.4,6.852470088304735,21.08536412200526,237.5,1,1
225,W,W12X35,W12X35,F,35.0,10.3,12.5,12  1/2 ,6.56,6  1/2 ,0.300,  5/16,  3/16,0.520,  1/2 ,0.820,1  3/16,  3/4 ,6.31,36.2,285.0,51.2,45.6,5.25,24.5,11.5,7.47,1.54,0.741,879,19.6,16.8,9.75,25.4,1.79,12.0,43.5,50.1,5.439589657726439,16.61504599908215,213.33333333333334,1,1
226,W,W12X30,W12X30,F,30.0,8.79,12.3,12  3/8 ,6.52,6  1/2 ,0.260,  1/4 ,  1/8 ,0.440,  7/16,0.740,1  1/8 ,  3/4 ,7.41,41.8,238.0,43.1,38.6,5.21,20.3,9.56,6.24,1.52,0.457,720,19.3,13.9,8.17,21.3,1.77,11.9,43.1,49.6,5.368945636197526,15.567117916943252,179.58333333333334,1,1
